epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.86921,0,15.1291,0,0,0,0,0,0,5.77102,0,0,0,0
2,3.8145,0,15.1479,0,0,0,0,0,0,5.77475,0,1.901e-05,1.901e-05,1.901e-05
3,5.29904,0,15.0311,0,0,0,0,0,0,5.77884,0,3.604e-05,3.604e-05,3.604e-05
4,6.65854,0,14.9886,0,0,0,0,0,0,5.78366,0,5.109e-05,5.109e-05,5.109e-05
5,8.05112,0,14.844,0,0,0,0,0,0,5.78828,0,6.416e-05,6.416e-05,6.416e-05
6,9.55057,0,14.7655,0,0,0,0,0,0,5.79253,0,7.525e-05,7.525e-05,7.525e-05
7,10.8404,0,14.7003,0,0,0,0,0,0,5.79789,0,8.436e-05,8.436e-05,8.436e-05
8,12.2231,0,14.662,0,0,0,0,0,0,5.80234,0,9.149e-05,9.149e-05,9.149e-05
9,13.5479,0,14.6157,0,0,0,0,0,0,5.80612,0,9.664e-05,9.664e-05,9.664e-05
10,14.962,0,14.525,0,0,0,0,0,0,5.80906,0,9.981e-05,9.981e-05,9.981e-05
11,16.435,0,14.4611,0,0,0,0,0,0,5.81214,0,0.000101,0.000101,0.000101
12,17.7738,0,14.4592,0,0,0,0,0,0,5.81592,0,0.00010021,0.00010021,0.00010021
13,19.2481,0,14.3258,0,0,0,0,0,0,5.81956,0,9.744e-05,9.744e-05,9.744e-05
14,20.6507,0,14.2386,0,0,0,0,0,0,5.82299,0,9.269e-05,9.269e-05,9.269e-05
15,22.1177,0,14.1938,0,0,0,0,0,0,5.82588,0,8.596e-05,8.596e-05,8.596e-05
16,23.7725,0,14.1213,0,0,0,0,0,0,5.82923,0,7.725e-05,7.725e-05,7.725e-05
17,25.4854,0,14.0974,0,0,0,0,0,0,5.83249,0,6.656e-05,6.656e-05,6.656e-05
18,27.3446,0,13.9874,0,0,0,0,0,0,5.83249,0,5.389e-05,5.389e-05,5.389e-05
19,29.1218,0,13.995,0,0,0,0,0,0,5.83332,0,3.924e-05,3.924e-05,3.924e-05
20,30.836,0,13.8911,0,0,0,0,0,0,5.83332,0,2.261e-05,2.261e-05,2.261e-05
