epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67889,3.80654,5.43851,4.17981,0,0,0,0,3.90172,4.4714,4.69548,0,0,0
2,3.62425,2.89905,4.15321,2.64144,0,0,0,0,3.93026,4.40746,4.64946,1.901e-05,1.901e-05,1.901e-05
3,5.35584,3.16252,4.70792,3.24603,0,0,0,0,3.9593,4.68583,4.64212,3.604e-05,3.604e-05,3.604e-05
4,7.04613,3.28789,5.1618,3.34473,0,0,0,0,3.82798,5.67626,4.62505,5.109e-05,5.109e-05,5.109e-05
5,8.87152,2.20144,6.01057,3.02546,0,0,0,0,3.89808,5.38199,4.60766,6.416e-05,6.416e-05,6.416e-05
6,10.8907,2.89839,4.1976,2.95563,0,0,0,0,4.00906,5.03023,4.55903,7.525e-05,7.525e-05,7.525e-05
7,12.5173,2.32012,3.94564,2.54043,0,0,0,0,3.96089,5.08672,4.28564,8.436e-05,8.436e-05,8.436e-05
8,14.3536,2.59546,4.53942,2.4456,0,0,0,0,3.86103,4.64801,4.02448,9.149e-05,9.149e-05,9.149e-05
9,15.8776,2.66337,4.85083,3.06433,0,0,0,0,3.83699,4.2702,3.84757,9.664e-05,9.664e-05,9.664e-05
10,17.3888,2.1898,3.98148,2.70284,0.00333,1,0.00446,0.00045,3.6933,4.34575,3.57954,9.981e-05,9.981e-05,9.981e-05
11,19.0714,2.06578,4.97647,2.51776,0.00333,1,0.00361,0.00072,3.39402,4.60465,3.35286,0.000101,0.000101,0.000101
12,20.5999,2.90624,5.79682,2.75381,0.00333,1,0.00364,0.00073,3.14105,4.85848,3.27145,0.00010021,0.00010021,0.00010021
13,22.1128,2.53877,5.70787,3.20344,0.00333,1,0.00378,0.00113,2.85703,5.13955,3.02573,9.744e-05,9.744e-05,9.744e-05
14,23.6921,3.13102,4.86642,3.08966,0.00333,1,0.00373,0.00112,2.89057,4.72984,3.02181,9.269e-05,9.269e-05,9.269e-05
15,25.1741,1.7475,4.3988,2.45363,0.00333,1,0.00396,0.00116,2.93353,4.33621,3.04338,8.596e-05,8.596e-05,8.596e-05
16,26.7748,2.0554,4.52044,2.66959,0.00333,1,0.00442,0.00121,2.94719,4.33453,3.01123,7.725e-05,7.725e-05,7.725e-05
17,28.2959,2.05229,4.36233,2.47521,0.00333,1,0.00444,0.00122,3.03773,4.30844,3.06091,6.656e-05,6.656e-05,6.656e-05
18,29.9422,2.09081,4.21056,2.02821,0.00333,1,0.00444,0.00122,3.03773,4.30844,3.06091,5.389e-05,5.389e-05,5.389e-05
19,31.7318,1.89427,5.16985,2.64797,0.00333,1,0.00454,0.00124,3.05785,4.3131,3.04317,3.924e-05,3.924e-05,3.924e-05
20,33.4478,1.46836,4.03735,2.01473,0.00333,1,0.00454,0.00124,3.05785,4.3131,3.04317,2.261e-05,2.261e-05,2.261e-05
