epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.79145,2.45276,4.62393,2.53284,0.00333,1,0.00411,0.00041,2.90756,5.04144,3.91012,0,0,0
2,3.84102,2.41374,4.25952,2.51579,0.00333,1,0.00411,0.00041,2.9006,4.87914,3.91299,1.802e-05,1.802e-05,1.802e-05
3,6.52112,2.37814,5.38225,2.31951,0.00333,1,0.00423,0.00085,2.88551,4.82825,3.85757,3.208e-05,3.208e-05,3.208e-05
4,8.54138,2.10622,3.78105,1.86342,0.00333,1,0.00442,0.00088,2.86955,4.59849,3.85751,4.218e-05,4.218e-05,4.218e-05
5,10.4381,1.6175,4.75085,1.60407,0.00333,1,0.00436,0.00087,2.82101,4.5365,3.80969,4.832e-05,4.832e-05,4.832e-05
6,12.3239,1.43513,3.60347,1.82716,0.00333,1,0.00436,0.00131,2.76195,4.55453,3.74065,5.05e-05,5.05e-05,5.05e-05
7,14.1514,1.21094,3.48881,1.38699,0.00333,1,0.00456,0.0018,2.71689,4.54276,3.70252,4.872e-05,4.872e-05,4.872e-05
8,15.766,0.92233,3.62627,1.04828,0.00333,1,0.005,0.00195,2.69313,4.5897,3.6797,4.298e-05,4.298e-05,4.298e-05
9,17.3187,1.18082,3.33341,1.41481,0.00333,1,0.00541,0.00208,2.66303,4.58849,3.58394,3.328e-05,3.328e-05,3.328e-05
10,18.903,1.45785,3.87754,1.49548,0.00333,1,0.0055,0.0021,2.62754,4.57043,3.59253,1.962e-05,1.962e-05,1.962e-05
